data.name,folds,seed,algo,bad.groups,RSS,RMSE,mean.sd,zeros
AZtrees,2,1,random,0,1480,19.2353840616713,24.0416305603426,0
AZtrees,2,1,RSS,0,0,0,0,0
AZtrees,2,1,Wasikowski,0,0,0,0,0
AZtrees,2,1,origami,0,1178260,542.738426868782,562.856997824492,0
AZtrees,2,2,random,0,2720080,824.633251815618,840.042856049618,0
AZtrees,2,2,RSS,0,0,0,0,0
AZtrees,2,2,Wasikowski,0,0,0,0,0
AZtrees,2,2,origami,0,160884,200.551738960299,233.345237791561,0
AZtrees,2,3,random,0,399412,315.995253128904,343.653895656662,0
AZtrees,2,3,RSS,0,0,0,0,0
AZtrees,2,3,Wasikowski,0,0,0,0,0
AZtrees,2,3,origami,1,405288,318.311168512825,326.683332908185,0
AZtrees,2,4,random,0,2129234,729.594750529361,781.352993211135,0
AZtrees,2,4,RSS,0,0,0,0,0
AZtrees,2,4,Wasikowski,0,0,0,0,0
AZtrees,2,4,origami,0,39460,99.3227063666713,118.79393923934,0
AZtrees,2,5,random,0,1851130,680.28119186113,688.014898094511,0
AZtrees,2,5,RSS,0,0,0,0,0
AZtrees,2,5,Wasikowski,0,0,0,0,0
AZtrees,2,5,origami,0,1889666,687.325614246989,692.25753878163,0
AZtrees,2,6,random,0,98834,157.189376231347,173.241161390704,0
AZtrees,2,6,RSS,0,0,0,0,0
AZtrees,2,6,Wasikowski,0,0,0,0,0
AZtrees,2,6,origami,1,602656,388.154608371458,410.121933088198,0
AZtrees,2,7,random,0,4185298,1022.90004399257,1069.85255993525,0
AZtrees,2,7,RSS,0,0,0,0,0
AZtrees,2,7,Wasikowski,0,0,0,0,0
AZtrees,2,7,origami,1,2451236,782.821180091597,791.959594928933,0
AZtrees,2,8,random,0,43600,104.403065089106,118.79393923934,0
AZtrees,2,8,RSS,0,0,0,0,0
AZtrees,2,8,Wasikowski,0,0,0,0,0
AZtrees,2,8,origami,1,339538,291.349446541434,294.86352775479,0
AZtrees,2,9,random,0,1531258,618.720049780189,620.132647100602,0
AZtrees,2,9,RSS,0,0,0,0,0
AZtrees,2,9,Wasikowski,0,0,0,0,0
AZtrees,2,9,origami,1,3398356,921.731522733165,947.523086789974,0
AZtrees,2,10,random,0,4095940,1011.92143963847,1064.90281246694,0
AZtrees,2,10,RSS,0,0,0,0,0
AZtrees,2,10,Wasikowski,0,0,0,0,0
AZtrees,2,10,origami,1,2425860,778.758627560556,797.616449178426,0
AZtrees,3,1,random,0,843245.333333334,374.887835077225,350.343125037371,0
AZtrees,3,1,RSS,0,1.33333333333333,0.471404520791032,0.577350269189626,0
AZtrees,3,1,Wasikowski,0,1.33333333333333,0.471404520791032,0.577350269189626,0
AZtrees,3,1,origami,0,2688771.33333333,669.424047637636,612.814104081522,0
AZtrees,3,2,random,0,1270807.33333333,460.218667833262,419.663199693033,0
AZtrees,3,2,RSS,0,1.33333333333333,0.471404520791032,0.577350269189626,0
