stratum,fold,data.name,folds,seed,algo,rows
5,1,PetAdoption,4,1,random,1079
5,2,PetAdoption,4,1,random,1153
5,3,PetAdoption,4,1,random,985
5,4,PetAdoption,4,1,random,980
1,1,five,4,1,RSS,1
1,2,five,4,1,RSS,1
1,4,five,4,1,RSS,1
2,1,five,4,1,RSS,2
2,2,five,4,1,RSS,3
2,3,five,4,1,RSS,2
2,4,five,4,1,RSS,2
1,1,five,4,1,Wasikowski,1
1,3,five,4,1,Wasikowski,1
1,4,five,4,1,Wasikowski,1
2,1,five,4,1,Wasikowski,3
2,2,five,4,1,Wasikowski,2
2,3,five,4,1,Wasikowski,2
2,4,five,4,1,Wasikowski,2
1,1,five,4,1,random,1
1,2,five,4,1,random,1
1,3,five,4,1,random,1
2,1,five,4,1,random,4
2,2,five,4,1,random,1
2,3,five,4,1,random,2
2,4,five,4,1,random,2
1,1,respiratory,4,1,RSS,48
1,2,respiratory,4,1,RSS,50
1,3,respiratory,4,1,RSS,51
1,4,respiratory,4,1,RSS,47
2,1,respiratory,4,1,RSS,64
2,2,respiratory,4,1,RSS,62
2,3,respiratory,4,1,RSS,61
2,4,respiratory,4,1,RSS,61
1,1,respiratory,4,1,Wasikowski,49
1,2,respiratory,4,1,Wasikowski,49
1,3,respiratory,4,1,Wasikowski,50
1,4,respiratory,4,1,Wasikowski,48
2,1,respiratory,4,1,Wasikowski,63
2,2,respiratory,4,1,Wasikowski,59
2,3,respiratory,4,1,Wasikowski,62
2,4,respiratory,4,1,Wasikowski,64
1,1,respiratory,4,1,random,52
1,2,respiratory,4,1,random,35
1,3,respiratory,4,1,random,47
1,4,respiratory,4,1,random,62
2,1,respiratory,4,1,random,60
2,2,respiratory,4,1,random,77
2,3,respiratory,4,1,random,65
2,4,respiratory,4,1,random,46
