stratum,fold,data.name,folds,seed,algo,rows
1,1,AZtrees,4,1,RSS,1478
1,2,AZtrees,4,1,RSS,1268
1,3,AZtrees,4,1,RSS,1268
1,4,AZtrees,4,1,RSS,1268
2,1,AZtrees,4,1,RSS,168
2,2,AZtrees,4,1,RSS,169
2,3,AZtrees,4,1,RSS,169
2,4,AZtrees,4,1,RSS,168
1,1,AZtrees,4,1,Wasikowski,1478
1,2,AZtrees,4,1,Wasikowski,1268
1,3,AZtrees,4,1,Wasikowski,1268
1,4,AZtrees,4,1,Wasikowski,1268
2,1,AZtrees,4,1,Wasikowski,160
2,2,AZtrees,4,1,Wasikowski,172
2,3,AZtrees,4,1,Wasikowski,171
2,4,AZtrees,4,1,Wasikowski,171
1,1,AZtrees,4,1,random,1619
1,2,AZtrees,4,1,random,794
1,3,AZtrees,4,1,random,1014
1,4,AZtrees,4,1,random,1855
2,1,AZtrees,4,1,random,175
2,2,AZtrees,4,1,random,160
2,3,AZtrees,4,1,random,188
2,4,AZtrees,4,1,random,151
1,1,Laribi2024,4,1,RSS,52945
1,2,Laribi2024,4,1,RSS,52945
1,3,Laribi2024,4,1,RSS,52945
1,4,Laribi2024,4,1,RSS,52945
2,1,Laribi2024,4,1,RSS,9177
2,2,Laribi2024,4,1,RSS,9176
2,3,Laribi2024,4,1,RSS,9176
2,4,Laribi2024,4,1,RSS,9176
1,1,Laribi2024,4,1,Wasikowski,52946
1,2,Laribi2024,4,1,Wasikowski,52945
1,3,Laribi2024,4,1,Wasikowski,52945
1,4,Laribi2024,4,1,Wasikowski,52944
2,1,Laribi2024,4,1,Wasikowski,9176
2,2,Laribi2024,4,1,Wasikowski,9176
2,3,Laribi2024,4,1,Wasikowski,9177
2,4,Laribi2024,4,1,Wasikowski,9176
1,1,Laribi2024,4,1,random,53107
1,2,Laribi2024,4,1,random,53186
1,3,Laribi2024,4,1,random,52800
1,4,Laribi2024,4,1,random,52687
2,1,Laribi2024,4,1,random,9121
2,2,Laribi2024,4,1,random,9263
2,3,Laribi2024,4,1,random,9111
2,4,Laribi2024,4,1,random,9210
1,1,PetAdoption,4,1,RSS,102
1,2,PetAdoption,4,1,RSS,103
1,3,PetAdoption,4,1,RSS,103
1,4,PetAdoption,4,1,RSS,102
2,1,PetAdoption,4,1,RSS,772
2,2,PetAdoption,4,1,RSS,772
2,3,PetAdoption,4,1,RSS,773
2,4,PetAdoption,4,1,RSS,773
3,1,PetAdoption,4,1,RSS,1009
3,2,PetAdoption,4,1,RSS,1010
3,3,PetAdoption,4,1,RSS,1009
3,4,PetAdoption,4,1,RSS,1009
4,1,PetAdoption,4,1,RSS,815
4,2,PetAdoption,4,1,RSS,814
4,3,PetAdoption,4,1,RSS,815
4,4,PetAdoption,4,1,RSS,815
5,1,PetAdoption,4,1,RSS,1050
5,2,PetAdoption,4,1,RSS,1049
5,3,PetAdoption,4,1,RSS,1049
5,4,PetAdoption,4,1,RSS,1049
1,1,PetAdoption,4,1,Wasikowski,103
1,2,PetAdoption,4,1,Wasikowski,103
1,3,PetAdoption,4,1,Wasikowski,102
1,4,PetAdoption,4,1,Wasikowski,102
2,1,PetAdoption,4,1,Wasikowski,773
2,2,PetAdoption,4,1,Wasikowski,773
2,3,PetAdoption,4,1,Wasikowski,772
2,4,PetAdoption,4,1,Wasikowski,772
3,1,PetAdoption,4,1,Wasikowski,1010
3,2,PetAdoption,4,1,Wasikowski,1009
3,3,PetAdoption,4,1,Wasikowski,1009
3,4,PetAdoption,4,1,Wasikowski,1009
4,1,PetAdoption,4,1,Wasikowski,815
4,2,PetAdoption,4,1,Wasikowski,814
4,3,PetAdoption,4,1,Wasikowski,815
4,4,PetAdoption,4,1,Wasikowski,815
5,1,PetAdoption,4,1,Wasikowski,1047
5,2,PetAdoption,4,1,Wasikowski,1050
5,3,PetAdoption,4,1,Wasikowski,1050
5,4,PetAdoption,4,1,Wasikowski,1050
1,1,PetAdoption,4,1,random,106
1,2,PetAdoption,4,1,random,99
1,3,PetAdoption,4,1,random,113
1,4,PetAdoption,4,1,random,92
2,1,PetAdoption,4,1,random,869
2,2,PetAdoption,4,1,random,826
2,3,PetAdoption,4,1,random,738
2,4,PetAdoption,4,1,random,657
3,1,PetAdoption,4,1,random,1217
3,2,PetAdoption,4,1,random,1079
3,3,PetAdoption,4,1,random,853
3,4,PetAdoption,4,1,random,888
4,1,PetAdoption,4,1,random,955
4,2,PetAdoption,4,1,random,922
4,3,PetAdoption,4,1,random,641
4,4,PetAdoption,4,1,random,741
