algo,seed,Sort,fold,s0,s1,s2,s3,s4
RSS,17,RSS,2,82,618,807,652,840
RSS,17,RSS,3,82,618,808,652,839
RSS,17,RSS,4,82,618,808,651,839
RSS,17,RSS,5,82,618,807,652,839
RSS,18,neg.SD,1,82,618,808,652,839
RSS,18,neg.SD,2,82,618,807,652,840
RSS,18,neg.SD,3,82,618,807,652,840
RSS,18,neg.SD,4,82,618,807,652,839
RSS,18,neg.SD,5,82,618,808,651,839
RSS,18,RSS,1,82,618,807,652,840
RSS,18,RSS,2,82,618,807,652,840
RSS,18,RSS,3,82,618,808,652,839
RSS,18,RSS,4,82,618,808,651,839
RSS,18,RSS,5,82,618,807,652,839
RSS,19,neg.SD,1,82,618,807,652,840
RSS,19,neg.SD,2,82,618,807,652,840
RSS,19,neg.SD,3,82,618,808,652,839
RSS,19,neg.SD,4,82,618,807,652,839
RSS,19,neg.SD,5,82,618,808,651,839
RSS,19,RSS,1,82,618,807,652,840
RSS,19,RSS,2,82,618,807,652,840
RSS,19,RSS,3,82,618,808,652,839
RSS,19,RSS,4,82,618,808,651,839
RSS,19,RSS,5,82,618,807,652,839
RSS,20,neg.SD,1,82,618,807,652,840
RSS,20,neg.SD,2,82,618,807,652,840
RSS,20,neg.SD,3,82,618,807,652,839
RSS,20,neg.SD,4,82,618,808,652,839
RSS,20,neg.SD,5,82,618,808,651,839
RSS,20,RSS,1,82,618,807,652,840
RSS,20,RSS,2,82,618,807,652,840
RSS,20,RSS,3,82,618,808,652,839
RSS,20,RSS,4,82,618,808,651,839
RSS,20,RSS,5,82,618,807,652,839
RSS,21,neg.SD,1,82,618,807,652,840
RSS,21,neg.SD,2,82,618,807,652,839
RSS,21,neg.SD,3,82,618,808,652,839
RSS,21,neg.SD,4,82,618,807,652,840
RSS,21,neg.SD,5,82,618,808,651,839
RSS,21,RSS,1,82,618,807,652,840
RSS,21,RSS,2,82,618,807,652,840
RSS,21,RSS,3,82,618,808,652,839
RSS,21,RSS,4,82,618,808,651,839
RSS,21,RSS,5,82,618,807,652,839
RSS,22,neg.SD,1,82,618,807,652,840
RSS,22,neg.SD,2,82,618,807,652,840
RSS,22,neg.SD,3,82,618,807,652,839
RSS,22,neg.SD,4,82,618,808,652,839
RSS,22,neg.SD,5,82,618,808,651,839
RSS,22,RSS,1,82,618,807,652,840
RSS,22,RSS,2,82,618,807,652,840
RSS,22,RSS,3,82,618,808,652,839
RSS,22,RSS,4,82,618,808,651,839
RSS,22,RSS,5,82,618,807,652,839
RSS,23,neg.SD,1,82,618,808,652,839
RSS,23,neg.SD,2,82,618,807,652,840
RSS,23,neg.SD,3,82,618,808,652,839
RSS,23,neg.SD,4,82,618,807,652,839
RSS,23,neg.SD,5,82,618,807,651,840
RSS,23,RSS,1,82,618,807,652,840
RSS,23,RSS,2,82,618,807,652,840
RSS,23,RSS,3,82,618,808,652,839
RSS,23,RSS,4,82,618,808,651,839
RSS,23,RSS,5,82,618,807,652,839
RSS,24,neg.SD,1,82,618,808,652,839
RSS,24,neg.SD,2,82,618,807,651,840
RSS,24,neg.SD,3,82,618,808,652,839
RSS,24,neg.SD,4,82,618,807,652,840
RSS,24,neg.SD,5,82,618,807,652,839
RSS,24,RSS,1,82,618,807,652,840
RSS,24,RSS,2,82,618,807,652,840
RSS,24,RSS,3,82,618,808,652,839
RSS,24,RSS,4,82,618,808,651,839
RSS,24,RSS,5,82,618,807,652,839
RSS,25,neg.SD,1,82,618,808,652,839
RSS,25,neg.SD,2,82,618,807,652,840
RSS,25,neg.SD,3,82,618,807,652,840
RSS,25,neg.SD,4,82,618,807,652,839
RSS,25,neg.SD,5,82,618,808,651,839
RSS,25,RSS,1,82,618,807,652,840
RSS,25,RSS,2,82,618,807,652,840
RSS,25,RSS,3,82,618,808,652,839
RSS,25,RSS,4,82,618,808,651,839
RSS,25,RSS,5,82,618,807,652,839
RSS,26,neg.SD,1,82,618,808,652,839
RSS,26,neg.SD,2,82,618,807,652,840
RSS,26,neg.SD,3,82,618,807,652,840
RSS,26,neg.SD,4,82,618,808,651,839
RSS,26,neg.SD,5,82,618,807,652,839
RSS,26,RSS,1,82,618,807,652,840
RSS,26,RSS,2,82,618,807,652,840
RSS,26,RSS,3,82,618,808,652,839
RSS,26,RSS,4,82,618,808,651,839
RSS,26,RSS,5,82,618,807,652,839
RSS,27,neg.SD,1,82,618,807,652,840
RSS,27,neg.SD,2,82,618,807,652,840
RSS,27,neg.SD,3,82,618,807,652,839
RSS,27,neg.SD,4,82,618,808,652,839
RSS,27,neg.SD,5,82,618,808,651,839
RSS,27,RSS,1,82,618,807,652,840
RSS,27,RSS,2,82,618,807,652,840
RSS,27,RSS,3,82,618,808,652,839
RSS,27,RSS,4,82,618,808,651,839
RSS,27,RSS,5,82,618,807,652,839
RSS,28,neg.SD,1,82,618,807,652,840
RSS,28,neg.SD,2,82,618,808,652,839
RSS,28,neg.SD,3,82,618,808,652,839
RSS,28,neg.SD,4,82,618,807,652,839
RSS,28,neg.SD,5,82,618,807,651,840
RSS,28,RSS,1,82,618,807,652,840
RSS,28,RSS,2,82,618,807,652,840
RSS,28,RSS,3,82,618,808,652,839
RSS,28,RSS,4,82,618,808,651,839
RSS,28,RSS,5,82,618,807,652,839
RSS,29,neg.SD,1,82,618,807,652,840
RSS,29,neg.SD,2,82,618,807,652,840
RSS,29,neg.SD,3,82,618,808,652,839
RSS,29,neg.SD,4,82,618,807,652,839
RSS,29,neg.SD,5,82,618,808,651,839
RSS,29,RSS,1,82,618,807,652,840
RSS,29,RSS,2,82,618,807,652,840
RSS,29,RSS,3,82,618,808,652,839
RSS,29,RSS,4,82,618,808,651,839
RSS,29,RSS,5,82,618,807,652,839
RSS,30,neg.SD,1,82,618,807,652,840
RSS,30,neg.SD,2,82,618,807,652,840
RSS,30,neg.SD,3,82,618,807,652,839
RSS,30,neg.SD,4,82,618,808,652,839
RSS,30,neg.SD,5,82,618,808,651,839
RSS,30,RSS,1,82,618,807,652,840
RSS,30,RSS,2,82,618,807,652,840
RSS,30,RSS,3,82,618,808,652,839
RSS,30,RSS,4,82,618,808,651,839
RSS,30,RSS,5,82,618,807,652,839
RSS,31,neg.SD,1,82,618,808,652,839
RSS,31,neg.SD,2,82,618,807,652,840
RSS,31,neg.SD,3,82,618,807,652,840
RSS,31,neg.SD,4,82,618,807,652,839
RSS,31,neg.SD,5,82,618,808,651,839
RSS,31,RSS,1,82,618,807,652,840
RSS,31,RSS,2,82,618,807,652,840
RSS,31,RSS,3,82,618,808,652,839
RSS,31,RSS,4,82,618,808,651,839
RSS,31,RSS,5,82,618,807,652,839
RSS,32,neg.SD,1,82,618,807,652,840
RSS,32,neg.SD,2,82,618,808,652,839
RSS,32,neg.SD,3,82,618,808,652,839
RSS,32,neg.SD,4,82,618,807,652,839
RSS,32,neg.SD,5,82,618,807,651,840
RSS,32,RSS,1,82,618,807,652,840
RSS,32,RSS,2,82,618,807,652,840
RSS,32,RSS,3,82,618,808,652,839
RSS,32,RSS,4,82,618,808,651,839
RSS,32,RSS,5,82,618,807,652,839
RSS,33,neg.SD,1,82,618,807,652,840
RSS,33,neg.SD,2,82,618,808,652,839
RSS,33,neg.SD,3,82,618,807,652,840
RSS,33,neg.SD,4,82,618,808,651,839
RSS,33,neg.SD,5,82,618,807,652,839
RSS,33,RSS,1,82,618,807,652,840
RSS,33,RSS,2,82,618,807,652,840
RSS,33,RSS,3,82,618,808,652,839
RSS,33,RSS,4,82,618,808,651,839
RSS,33,RSS,5,82,618,807,652,839
RSS,34,neg.SD,1,82,618,808,652,839
RSS,34,neg.SD,2,82,618,807,652,840
RSS,34,neg.SD,3,82,618,807,652,840
RSS,34,neg.SD,4,82,618,807,652,839
RSS,34,neg.SD,5,82,618,808,651,839
RSS,34,RSS,1,82,618,807,652,840
RSS,34,RSS,2,82,618,807,652,840
RSS,34,RSS,3,82,618,808,652,839
RSS,34,RSS,4,82,618,808,651,839
RSS,34,RSS,5,82,618,807,652,839
RSS,35,neg.SD,1,82,618,808,652,839
RSS,35,neg.SD,2,82,618,807,652,840
RSS,35,neg.SD,3,82,618,808,652,839
RSS,35,neg.SD,4,82,618,807,651,840
RSS,35,neg.SD,5,82,618,807,652,839
RSS,35,RSS,1,82,618,807,652,840
RSS,35,RSS,2,82,618,807,652,840
RSS,35,RSS,3,82,618,808,652,839
RSS,35,RSS,4,82,618,808,651,839
RSS,35,RSS,5,82,618,807,652,839
RSS,36,neg.SD,1,82,618,807,652,840
RSS,36,neg.SD,2,82,618,808,652,839
RSS,36,neg.SD,3,82,618,807,652,840
RSS,36,neg.SD,4,82,618,807,652,839
RSS,36,neg.SD,5,82,618,808,651,839
RSS,36,RSS,1,82,618,807,652,840
RSS,36,RSS,2,82,618,807,652,840
RSS,36,RSS,3,82,618,808,652,839
RSS,36,RSS,4,82,618,808,651,839
RSS,36,RSS,5,82,618,807,652,839
RSS,37,neg.SD,1,82,618,807,652,840
RSS,37,neg.SD,2,82,618,808,652,839
RSS,37,neg.SD,3,82,618,808,651,839
RSS,37,neg.SD,4,82,618,807,652,840
RSS,37,neg.SD,5,82,618,807,652,839
RSS,37,RSS,1,82,618,807,652,840
RSS,37,RSS,2,82,618,807,652,840
RSS,37,RSS,3,82,618,808,652,839
RSS,37,RSS,4,82,618,808,651,839
RSS,37,RSS,5,82,618,807,652,839
RSS,38,neg.SD,1,82,618,808,652,839
RSS,38,neg.SD,2,82,618,807,652,840
RSS,38,neg.SD,3,82,618,808,651,839
RSS,38,neg.SD,4,82,618,807,652,840
RSS,38,neg.SD,5,82,618,807,652,839
RSS,38,RSS,1,82,618,807,652,840
RSS,38,RSS,2,82,618,807,652,840
RSS,38,RSS,3,82,618,808,652,839
RSS,38,RSS,4,82,618,808,651,839
RSS,38,RSS,5,82,618,807,652,839
RSS,39,neg.SD,1,82,618,808,652,839
RSS,39,neg.SD,2,82,618,807,652,840
RSS,39,neg.SD,3,82,618,807,652,840
RSS,39,neg.SD,4,82,618,807,652,839
RSS,39,neg.SD,5,82,618,808,651,839
RSS,39,RSS,1,82,618,807,652,840
RSS,39,RSS,2,82,618,807,652,840
RSS,39,RSS,3,82,618,808,652,839
RSS,39,RSS,4,82,618,808,651,839
RSS,39,RSS,5,82,618,807,652,839
RSS,40,neg.SD,1,82,618,807,652,840
RSS,40,neg.SD,2,82,618,807,652,840
RSS,40,neg.SD,3,82,618,807,652,839
RSS,40,neg.SD,4,82,618,808,652,839
RSS,40,neg.SD,5,82,618,808,651,839
RSS,40,RSS,1,82,618,807,652,840
RSS,40,RSS,2,82,618,807,652,840
RSS,40,RSS,3,82,618,808,652,839
RSS,40,RSS,4,82,618,808,651,839
RSS,40,RSS,5,82,618,807,652,839
RSS,41,neg.SD,1,82,618,808,652,839
RSS,41,neg.SD,2,82,618,807,652,840
RSS,41,neg.SD,3,82,618,808,651,839
RSS,41,neg.SD,4,82,618,807,652,840
RSS,41,neg.SD,5,82,618,807,652,839
RSS,41,RSS,1,82,618,807,652,840
RSS,41,RSS,2,82,618,807,652,840
RSS,41,RSS,3,82,618,808,652,839
RSS,41,RSS,4,82,618,808,651,839
RSS,41,RSS,5,82,618,807,652,839
RSS,42,neg.SD,1,82,618,808,652,839
RSS,42,neg.SD,2,82,618,807,652,840
RSS,42,neg.SD,3,82,618,807,652,840
RSS,42,neg.SD,4,82,618,808,651,839
RSS,42,neg.SD,5,82,618,807,652,839
RSS,42,RSS,1,82,618,807,652,840
RSS,42,RSS,2,82,618,807,652,840
RSS,42,RSS,3,82,618,808,652,839
RSS,42,RSS,4,82,618,808,651,839
RSS,42,RSS,5,82,618,807,652,839
RSS,43,neg.SD,1,82,618,807,652,840
RSS,43,neg.SD,2,82,618,808,652,839
RSS,43,neg.SD,3,82,618,808,651,839
RSS,43,neg.SD,4,82,618,807,652,840
RSS,43,neg.SD,5,82,618,807,652,839
RSS,43,RSS,1,82,618,807,652,840
RSS,43,RSS,2,82,618,807,652,840
RSS,43,RSS,3,82,618,808,652,839
RSS,43,RSS,4,82,618,808,651,839
RSS,43,RSS,5,82,618,807,652,839
RSS,44,neg.SD,1,82,618,808,652,839
RSS,44,neg.SD,2,82,618,807,652,840
RSS,44,neg.SD,3,82,618,808,652,839
RSS,44,neg.SD,4,82,618,807,651,840
RSS,44,neg.SD,5,82,618,807,652,839
RSS,44,RSS,1,82,618,807,652,840
RSS,44,RSS,2,82,618,807,652,840
RSS,44,RSS,3,82,618,808,652,839
RSS,44,RSS,4,82,618,808,651,839
RSS,44,RSS,5,82,618,807,652,839
RSS,45,neg.SD,1,82,618,808,652,839
RSS,45,neg.SD,2,82,618,807,652,840
RSS,45,neg.SD,3,82,618,808,651,839
RSS,45,neg.SD,4,82,618,807,652,840
RSS,45,neg.SD,5,82,618,807,652,839
RSS,45,RSS,1,82,618,807,652,840
RSS,45,RSS,2,82,618,807,652,840
RSS,45,RSS,3,82,618,808,652,839
RSS,45,RSS,4,82,618,808,651,839
RSS,45,RSS,5,82,618,807,652,839
RSS,46,neg.SD,1,82,618,808,652,839
RSS,46,neg.SD,2,82,618,808,652,839
RSS,46,neg.SD,3,82,618,807,652,840
RSS,46,neg.SD,4,82,618,807,651,840
RSS,46,neg.SD,5,82,618,807,652,839
RSS,46,RSS,1,82,618,807,652,840
RSS,46,RSS,2,82,618,807,652,840
RSS,46,RSS,3,82,618,808,652,839
RSS,46,RSS,4,82,618,808,651,839
RSS,46,RSS,5,82,618,807,652,839
RSS,47,neg.SD,1,82,618,808,652,839
RSS,47,neg.SD,2,82,618,807,652,840
RSS,47,neg.SD,3,82,618,807,652,840
RSS,47,neg.SD,4,82,618,807,652,839
RSS,47,neg.SD,5,82,618,808,651,839
RSS,47,RSS,1,82,618,807,652,840
RSS,47,RSS,2,82,618,807,652,840
RSS,47,RSS,3,82,618,808,652,839
RSS,47,RSS,4,82,618,808,651,839
RSS,47,RSS,5,82,618,807,652,839
RSS,48,neg.SD,1,82,618,807,652,840
RSS,48,neg.SD,2,82,618,807,652,840
RSS,48,neg.SD,3,82,618,807,652,839
RSS,48,neg.SD,4,82,618,808,652,839
RSS,48,neg.SD,5,82,618,808,651,839
RSS,48,RSS,1,82,618,807,652,840
RSS,48,RSS,2,82,618,807,652,840
RSS,48,RSS,3,82,618,808,652,839
RSS,48,RSS,4,82,618,808,651,839
RSS,48,RSS,5,82,618,807,652,839
RSS,49,neg.SD,1,82,618,808,652,839
RSS,49,neg.SD,2,82,618,807,652,840
RSS,49,neg.SD,3,82,618,808,652,839
RSS,49,neg.SD,4,82,618,807,652,839
RSS,49,neg.SD,5,82,618,807,651,840
RSS,49,RSS,1,82,618,807,652,840
RSS,49,RSS,2,82,618,807,652,840
RSS,49,RSS,3,82,618,808,652,839
RSS,49,RSS,4,82,618,808,651,839
RSS,49,RSS,5,82,618,807,652,839
RSS,50,neg.SD,1,82,618,808,652,839
RSS,50,neg.SD,2,82,618,808,652,839
RSS,50,neg.SD,3,82,618,807,652,840
RSS,50,neg.SD,4,82,618,807,652,839
RSS,50,neg.SD,5,82,618,807,651,840
RSS,50,RSS,1,82,618,807,652,840
RSS,50,RSS,2,82,618,807,652,840
RSS,50,RSS,3,82,618,808,652,839
RSS,50,RSS,4,82,618,808,651,839
RSS,50,RSS,5,82,618,807,652,839
RSS,51,neg.SD,1,82,618,808,652,839
RSS,51,neg.SD,2,82,618,807,652,840
RSS,51,neg.SD,3,82,618,807,652,840
RSS,51,neg.SD,4,82,618,807,652,839
RSS,51,neg.SD,5,82,618,808,651,839
RSS,51,RSS,1,82,618,807,652,840
RSS,51,RSS,2,82,618,807,652,840
RSS,51,RSS,3,82,618,808,652,839
RSS,51,RSS,4,82,618,808,651,839
RSS,51,RSS,5,82,618,807,652,839
RSS,52,neg.SD,1,82,618,807,652,840
RSS,52,neg.SD,2,82,618,807,652,840
RSS,52,neg.SD,3,82,618,808,651,839
RSS,52,neg.SD,4,82,618,808,652,839
RSS,52,neg.SD,5,82,618,807,652,839
RSS,52,RSS,1,82,618,807,652,840
RSS,52,RSS,2,82,618,807,652,840
RSS,52,RSS,3,82,618,808,652,839
RSS,52,RSS,4,82,618,808,651,839
RSS,52,RSS,5,82,618,807,652,839
RSS,53,neg.SD,1,82,618,807,652,840
RSS,53,neg.SD,2,82,618,807,652,840
RSS,53,neg.SD,3,82,618,808,652,839
RSS,53,neg.SD,4,82,618,807,652,839
RSS,53,neg.SD,5,82,618,808,651,839
RSS,53,RSS,1,82,618,807,652,840
RSS,53,RSS,2,82,618,807,652,840
RSS,53,RSS,3,82,618,808,652,839
RSS,53,RSS,4,82,618,808,651,839
RSS,53,RSS,5,82,618,807,652,839
RSS,54,neg.SD,1,82,618,807,652,840
RSS,54,neg.SD,2,82,618,808,652,839
RSS,54,neg.SD,3,82,618,808,651,839
RSS,54,neg.SD,4,82,618,807,652,840
RSS,54,neg.SD,5,82,618,807,652,839
RSS,54,RSS,1,82,618,807,652,840
RSS,54,RSS,2,82,618,807,652,840
RSS,54,RSS,3,82,618,808,652,839
RSS,54,RSS,4,82,618,808,651,839
RSS,54,RSS,5,82,618,807,652,839
RSS,55,neg.SD,1,82,618,807,652,840
RSS,55,neg.SD,2,82,618,808,652,839
RSS,55,neg.SD,3,82,618,808,652,839
RSS,55,neg.SD,4,81,618,807,652,840
RSS,55,neg.SD,5,83,618,807,651,839
RSS,55,RSS,1,82,618,807,652,840
RSS,55,RSS,2,82,618,807,652,840
RSS,55,RSS,3,82,618,808,652,839
RSS,55,RSS,4,82,618,808,651,839
RSS,55,RSS,5,82,618,807,652,839
RSS,56,neg.SD,1,82,618,807,652,840
RSS,56,neg.SD,2,82,618,808,652,839
RSS,56,neg.SD,3,82,618,808,652,839
RSS,56,neg.SD,4,82,618,807,652,839
RSS,56,neg.SD,5,82,618,807,651,840
RSS,56,RSS,1,82,618,807,652,840
RSS,56,RSS,2,82,618,807,652,840
RSS,56,RSS,3,82,618,808,652,839
RSS,56,RSS,4,82,618,808,651,839
RSS,56,RSS,5,82,618,807,652,839
RSS,57,neg.SD,1,82,618,807,652,840
RSS,57,neg.SD,2,82,618,807,652,840
RSS,57,neg.SD,3,82,618,808,652,839
RSS,57,neg.SD,4,82,618,807,652,839
RSS,57,neg.SD,5,82,618,808,651,839
RSS,57,RSS,1,82,618,807,652,840
RSS,57,RSS,2,82,618,807,652,840
RSS,57,RSS,3,82,618,808,652,839
RSS,57,RSS,4,82,618,808,651,839
RSS,57,RSS,5,82,618,807,652,839
RSS,58,neg.SD,1,82,618,807,652,840
RSS,58,neg.SD,2,82,618,808,652,839
RSS,58,neg.SD,3,82,618,808,652,839
RSS,58,neg.SD,4,82,618,807,652,839
RSS,58,neg.SD,5,82,618,807,651,840
RSS,58,RSS,1,82,618,807,652,840
RSS,58,RSS,2,82,618,807,652,840
RSS,58,RSS,3,82,618,808,652,839
RSS,58,RSS,4,82,618,808,651,839
RSS,58,RSS,5,82,618,807,652,839
RSS,59,neg.SD,1,82,618,807,652,840
RSS,59,neg.SD,2,82,618,807,652,840
RSS,59,neg.SD,3,82,618,808,652,839
RSS,59,neg.SD,4,82,618,807,652,839
RSS,59,neg.SD,5,82,618,808,651,839
RSS,59,RSS,1,82,618,807,652,840
RSS,59,RSS,2,82,618,807,652,840
RSS,59,RSS,3,82,618,808,652,839
RSS,59,RSS,4,82,618,808,651,839
RSS,59,RSS,5,82,618,807,652,839
RSS,60,neg.SD,1,82,618,807,652,840
RSS,60,neg.SD,2,83,618,808,653,839
RSS,60,neg.SD,3,82,618,808,651,839
RSS,60,neg.SD,4,81,618,807,652,839
RSS,60,neg.SD,5,82,618,807,651,840
RSS,60,RSS,1,82,618,807,652,840
RSS,60,RSS,2,82,618,807,652,840
RSS,60,RSS,3,82,618,808,652,839
RSS,60,RSS,4,82,618,808,651,839
RSS,60,RSS,5,82,618,807,652,839
RSS,61,neg.SD,1,82,618,807,652,840
RSS,61,neg.SD,2,82,618,808,652,839
RSS,61,neg.SD,3,82,618,808,651,839
RSS,61,neg.SD,4,82,618,807,652,840
RSS,61,neg.SD,5,82,618,807,652,839
RSS,61,RSS,1,82,618,807,652,840
