algo,seed,Sort,fold,s0,s1,s2,s3,s4
RSS,1,neg.SD,1,82,618,807,652,840
RSS,1,neg.SD,2,82,618,808,652,839
RSS,1,neg.SD,3,82,618,808,652,839
RSS,1,neg.SD,4,82,618,807,652,839
RSS,1,neg.SD,5,82,618,807,651,840
RSS,1,RSS,1,82,618,807,652,840
RSS,1,RSS,2,82,618,807,652,840
RSS,1,RSS,3,82,618,808,652,839
RSS,1,RSS,4,82,618,808,651,839
RSS,1,RSS,5,82,618,807,652,839
RSS,2,neg.SD,1,82,618,808,652,839
RSS,2,neg.SD,2,82,618,807,652,840
RSS,2,neg.SD,3,82,618,808,651,839
RSS,2,neg.SD,4,82,618,807,652,840
RSS,2,neg.SD,5,82,618,807,652,839
RSS,2,RSS,1,82,618,807,652,840
RSS,2,RSS,2,82,618,807,652,840
RSS,2,RSS,3,82,618,808,652,839
RSS,2,RSS,4,82,618,808,651,839
RSS,2,RSS,5,82,618,807,652,839
RSS,3,neg.SD,1,82,618,808,652,839
RSS,3,neg.SD,2,82,618,807,652,840
RSS,3,neg.SD,3,82,618,807,652,840
RSS,3,neg.SD,4,82,618,807,652,839
RSS,3,neg.SD,5,82,618,808,651,839
RSS,3,RSS,1,82,618,807,652,840
RSS,3,RSS,2,82,618,807,652,840
RSS,3,RSS,3,82,618,808,652,839
RSS,3,RSS,4,82,618,808,651,839
RSS,3,RSS,5,82,618,807,652,839
RSS,4,neg.SD,1,82,618,807,652,840
RSS,4,neg.SD,2,82,618,807,652,840
RSS,4,neg.SD,3,82,618,807,652,839
RSS,4,neg.SD,4,82,618,808,652,839
RSS,4,neg.SD,5,82,618,808,651,839
RSS,4,RSS,1,82,618,807,652,840
RSS,4,RSS,2,82,618,807,652,840
RSS,4,RSS,3,82,618,808,652,839
RSS,4,RSS,4,82,618,808,651,839
RSS,4,RSS,5,82,618,807,652,839
RSS,5,neg.SD,1,82,618,807,652,840
RSS,5,neg.SD,2,82,618,808,652,839
RSS,5,neg.SD,3,82,618,807,652,840
RSS,5,neg.SD,4,82,618,807,652,839
RSS,5,neg.SD,5,82,618,808,651,839
RSS,5,RSS,1,82,618,807,652,840
RSS,5,RSS,2,82,618,807,652,840
RSS,5,RSS,3,82,618,808,652,839
RSS,5,RSS,4,82,618,808,651,839
RSS,5,RSS,5,82,618,807,652,839
RSS,6,neg.SD,1,82,618,808,652,839
RSS,6,neg.SD,2,82,618,807,652,840
RSS,6,neg.SD,3,82,618,807,652,839
RSS,6,neg.SD,4,82,618,807,652,840
RSS,6,neg.SD,5,82,618,808,651,839
RSS,6,RSS,1,82,618,807,652,840
RSS,6,RSS,2,82,618,807,652,840
RSS,6,RSS,3,82,618,808,652,839
RSS,6,RSS,4,82,618,808,651,839
RSS,6,RSS,5,82,618,807,652,839
RSS,7,neg.SD,1,82,618,808,652,839
RSS,7,neg.SD,2,82,618,807,652,840
RSS,7,neg.SD,3,82,618,808,652,839
RSS,7,neg.SD,4,82,618,807,651,840
RSS,7,neg.SD,5,82,618,807,652,839
RSS,7,RSS,1,82,618,807,652,840
RSS,7,RSS,2,82,618,807,652,840
RSS,7,RSS,3,82,618,808,652,839
RSS,7,RSS,4,82,618,808,651,839
RSS,7,RSS,5,82,618,807,652,839
RSS,8,neg.SD,1,82,618,807,652,840
RSS,8,neg.SD,2,82,618,808,652,839
RSS,8,neg.SD,3,82,618,808,652,839
RSS,8,neg.SD,4,82,618,807,652,839
RSS,8,neg.SD,5,82,618,807,651,840
RSS,8,RSS,1,82,618,807,652,840
RSS,8,RSS,2,82,618,807,652,840
RSS,8,RSS,3,82,618,808,652,839
RSS,8,RSS,4,82,618,808,651,839
RSS,8,RSS,5,82,618,807,652,839
RSS,9,neg.SD,1,82,618,808,652,839
RSS,9,neg.SD,2,82,618,807,652,840
RSS,9,neg.SD,3,82,618,808,652,839
RSS,9,neg.SD,4,82,618,807,651,840
RSS,9,neg.SD,5,82,618,807,652,839
RSS,9,RSS,1,82,618,807,652,840
RSS,9,RSS,2,82,618,807,652,840
RSS,9,RSS,3,82,618,808,652,839
RSS,9,RSS,4,82,618,808,651,839
RSS,9,RSS,5,82,618,807,652,839
RSS,10,neg.SD,1,82,618,807,652,840
RSS,10,neg.SD,2,82,618,808,652,839
RSS,10,neg.SD,3,82,618,808,652,839
RSS,10,neg.SD,4,81,618,807,652,840
RSS,10,neg.SD,5,83,618,807,651,839
RSS,10,RSS,1,82,618,807,652,840
RSS,10,RSS,2,82,618,807,652,840
RSS,10,RSS,3,82,618,808,652,839
RSS,10,RSS,4,82,618,808,651,839
RSS,10,RSS,5,82,618,807,652,839
RSS,11,neg.SD,1,82,618,808,652,839
RSS,11,neg.SD,2,82,618,808,652,839
RSS,11,neg.SD,3,82,618,807,652,839
RSS,11,neg.SD,4,82,618,807,652,840
RSS,11,neg.SD,5,82,618,807,651,840
RSS,11,RSS,1,82,618,807,652,840
RSS,11,RSS,2,82,618,807,652,840
RSS,11,RSS,3,82,618,808,652,839
RSS,11,RSS,4,82,618,808,651,839
RSS,11,RSS,5,82,618,807,652,839
RSS,12,neg.SD,1,82,618,808,652,839
RSS,12,neg.SD,2,82,618,808,652,839
RSS,12,neg.SD,3,82,618,807,652,840
RSS,12,neg.SD,4,82,618,807,651,840
RSS,12,neg.SD,5,82,618,807,652,839
RSS,12,RSS,1,82,618,807,652,840
RSS,12,RSS,2,82,618,807,652,840
RSS,12,RSS,3,82,618,808,652,839
RSS,12,RSS,4,82,618,808,651,839
RSS,12,RSS,5,82,618,807,652,839
RSS,13,neg.SD,1,82,618,808,652,839
RSS,13,neg.SD,2,82,618,807,652,840
RSS,13,neg.SD,3,82,618,808,652,839
RSS,13,neg.SD,4,82,618,807,651,840
RSS,13,neg.SD,5,82,618,807,652,839
RSS,13,RSS,1,82,618,807,652,840
RSS,13,RSS,2,82,618,807,652,840
RSS,13,RSS,3,82,618,808,652,839
RSS,13,RSS,4,82,618,808,651,839
RSS,13,RSS,5,82,618,807,652,839
RSS,14,neg.SD,1,82,618,807,652,840
RSS,14,neg.SD,2,82,618,808,652,839
RSS,14,neg.SD,3,82,618,807,652,839
RSS,14,neg.SD,4,82,618,808,652,839
RSS,14,neg.SD,5,82,618,807,651,840
RSS,14,RSS,1,82,618,807,652,840
RSS,14,RSS,2,82,618,807,652,840
RSS,14,RSS,3,82,618,808,652,839
RSS,14,RSS,4,82,618,808,651,839
RSS,14,RSS,5,82,618,807,652,839
RSS,15,neg.SD,1,82,618,808,652,839
RSS,15,neg.SD,2,82,618,807,652,840
RSS,15,neg.SD,3,82,618,808,651,839
RSS,15,neg.SD,4,82,618,807,652,840
RSS,15,neg.SD,5,82,618,807,652,839
RSS,15,RSS,1,82,618,807,652,840
RSS,15,RSS,2,82,618,807,652,840
RSS,15,RSS,3,82,618,808,652,839
RSS,15,RSS,4,82,618,808,651,839
RSS,15,RSS,5,82,618,807,652,839
RSS,16,neg.SD,1,82,618,807,652,840
RSS,16,neg.SD,2,82,618,808,652,839
RSS,16,neg.SD,3,82,618,808,651,839
RSS,16,neg.SD,4,82,618,807,652,840
RSS,16,neg.SD,5,82,618,807,652,839
RSS,16,RSS,1,82,618,807,652,840
RSS,16,RSS,2,82,618,807,652,840
RSS,16,RSS,3,82,618,808,652,839
RSS,16,RSS,4,82,618,808,651,839
RSS,16,RSS,5,82,618,807,652,839
RSS,17,neg.SD,1,82,618,807,652,840
RSS,17,neg.SD,2,82,618,808,652,839
RSS,17,neg.SD,3,82,618,807,652,840
RSS,17,neg.SD,4,82,618,807,652,839
RSS,17,neg.SD,5,82,618,808,651,839
RSS,17,RSS,1,82,618,807,652,840
