algo,seed,Sort,RSS,mean.sd
RSS,1,neg.SD,3.2,0.308531742102058
RSS,1,RSS,3.2,0.308531742102058
RSS,2,neg.SD,3.2,0.308531742102058
RSS,2,RSS,3.2,0.308531742102058
RSS,3,neg.SD,3.2,0.308531742102058
RSS,3,RSS,3.2,0.308531742102058
RSS,4,neg.SD,3.2,0.308531742102058
RSS,4,RSS,3.2,0.308531742102058
RSS,5,neg.SD,3.2,0.308531742102058
RSS,5,RSS,3.2,0.308531742102058
RSS,6,neg.SD,3.2,0.308531742102058
RSS,6,RSS,3.2,0.308531742102058
RSS,7,neg.SD,3.2,0.308531742102058
RSS,7,RSS,3.2,0.308531742102058
RSS,8,neg.SD,3.2,0.308531742102058
RSS,8,RSS,3.2,0.308531742102058
RSS,9,neg.SD,3.2,0.308531742102058
RSS,9,RSS,3.2,0.308531742102058
RSS,10,neg.SD,5.2,0.449953098339368
RSS,10,RSS,3.2,0.308531742102058
RSS,11,neg.SD,3.2,0.308531742102058
RSS,11,RSS,3.2,0.308531742102058
RSS,12,neg.SD,3.2,0.308531742102058
RSS,12,RSS,3.2,0.308531742102058
RSS,13,neg.SD,3.2,0.308531742102058
RSS,13,RSS,3.2,0.308531742102058
RSS,14,neg.SD,3.2,0.308531742102058
RSS,14,RSS,3.2,0.308531742102058
RSS,15,neg.SD,3.2,0.308531742102058
RSS,15,RSS,3.2,0.308531742102058
RSS,16,neg.SD,3.2,0.308531742102058
RSS,16,RSS,3.2,0.308531742102058
RSS,17,neg.SD,3.2,0.308531742102058
RSS,17,RSS,3.2,0.308531742102058
RSS,18,neg.SD,3.2,0.308531742102058
RSS,18,RSS,3.2,0.308531742102058
RSS,19,neg.SD,3.2,0.308531742102058
RSS,19,RSS,3.2,0.308531742102058
RSS,20,neg.SD,3.2,0.308531742102058
RSS,20,RSS,3.2,0.308531742102058
RSS,21,neg.SD,3.2,0.308531742102058
RSS,21,RSS,3.2,0.308531742102058
RSS,22,neg.SD,3.2,0.308531742102058
RSS,22,RSS,3.2,0.308531742102058
RSS,23,neg.SD,3.2,0.308531742102058
RSS,23,RSS,3.2,0.308531742102058
RSS,24,neg.SD,3.2,0.308531742102058
RSS,24,RSS,3.2,0.308531742102058
RSS,25,neg.SD,3.2,0.308531742102058
RSS,25,RSS,3.2,0.308531742102058
RSS,26,neg.SD,3.2,0.308531742102058
RSS,26,RSS,3.2,0.308531742102058
RSS,27,neg.SD,3.2,0.308531742102058
